input,target,answer_choices,type
哪个类别最好的描述了这篇新闻？离婚半年，带着酒意给前夫发句“想你了”，他的回答让我潸然泪下_选项：故事，文化，娱乐，体育，财经，房产，汽车，教育，科技，军事，旅游，国际，股票，农业，游戏_答案：,故事,"['故事', '文化', '娱乐', '体育', '财经', '房产', '汽车', '教育', '科技', '军事', '旅游', '国际', '股票', '农业', '游戏']",classify
阅读下面短文，从短文后给出的候选项中选出最佳选项。_ 哆嗦着将雷管小心地塞进炸药里，再按照导火索燃烧的速度切割下一节至少可以燃烧三分钟以上的导火索，小心地用防风打火机点燃后立刻尖叫着逃开，有的甚至__地一把抱住站在身后担任保卫监督的战士，死活都不放手…… _ 候选项:重蹈覆辙，似曾相识，颠来倒去，昏天黑地，焦头烂额，人心惶惶，精疲力竭，振振有词，晕头转向，声嘶力竭。最佳选项是：,晕头转向,"['重蹈覆辙', '似曾相识', '颠来倒去', '昏天黑地', '焦头烂额', '人心惶惶', '精疲力竭', '振振有词', '晕头转向', '声嘶力竭']",mrc
这个句子“我的借呗怎么消失了找不到了”转述(意思是一样的)了下面这句话？“为什么列表上找不到蚂蚁借呗”。选项：是的，不是。答案：,是的,"['是的', '不是']",classify
"给定“程先生冷不防被她点穿了心思,笑也不是,恼也不是,只好不做声”是否遵循“程先生在相亲”是的,不是,或也许？_答案：",也许,"['是的', '不是', '也许']",nli
参考下面的段落，回答下列问题：_段落：《明日·今天的未来》是一本由香港的财政司司长办公室制作的财政预算案咨询漫画。其作品由香港财政司长曾俊华提出、香港漫画家李志清执笔绘画、张正常担任编剧。制作费用约十万港元，并于2009年1月中旬出版。漫画内容在政府财政预算案的网站里连载，供市民自由观看。这也是香港政府第一次以漫画形式宣传和教育。在推出漫画后，曾俊华表示已收到近五千多份意见。漫画主要透过主角一段跨越时空的奇幻旅程，以令到市民明白未来建基于今日之上，当中的内容包含著各种在香港现时在发生的社会问题，例如是失业及金融海啸所带来的冲击等。而在剧情里的同时，也提供著一些经济数据，好让读者运用那些数据来思考一下怎样解决其问题。在漫画里，书中的主角阿日跟他的家人讨论金融海啸之下香港经济的何去何从。_问题：这部漫画是何时出版的？_答案：,2009年1月中旬出版,[],mrc
根据短文内容，选出缺少的成语填在下划线处。_ 有人说，才华与性格有时是很奇怪的组合，马拉多纳的才华与他乖戾的脾气__，梅西的才华则是与令人欣慰的低调与随和#idiom495206#。梅西是“居家版”的马拉多纳，他从不因为自己的才华而失去与队友的和谐，球场上，他更不会因自己的出色而蔑视对手，他只是非常自然地按自己的样子踢。 _ 候选成语：门当户对，相辅相成，疾风暴雨，想入非非，珠联璧合，海枯石烂，形影不离，如胶似漆，久而久之，郎才女貌。 正确答案是：,形影不离,"['门当户对', '相辅相成', '疾风暴雨', '想入非非', '珠联璧合', '海枯石烂', '形影不离', '如胶似漆', '久而久之', '郎才女貌']",mrc
阅读下列对话。_男：你有没有觉得街道两边的树突然就绿了？女：是，前几天地上的草还没有绿呢。男：春天来了，天气一下子就变热了。_听者会怎么说？_答案：,女：我看我应该把裙子找出来了。,[],generate
"“结果结果结果拿出来的东西啊,我用.”问题：“我已丢弃了拿出来的东西”真的,假的,或未知？_答案：",假的,"['真的', '假的', '未知']",nli
"假定下面是真的“王琦瑶从此便对说媒的人婉言谢绝,她知道再介绍谁也跳不出教书先生这个案自”因此,“王琦瑶很喜欢教书先生这个职业”是必然的,可能的,或不可能？_答案：",不可能,"['必然的', '可能的', '不可能']",nli
"给定“再说没有任何一个药能够对所有人都是有效的,所以它让你自由选择”我们应该假定“它让你按清单上买药。”是真的吗？是的,不是,或也许？_答案：",不是,"['是的', '不是', '也许']",nli
"“今年大年初一,下关急电:鲅鱼脱销、价格飞涨”问题：“好多人买不起鲅鱼”真的,假的,或未知？_答案：",未知,"['真的', '假的', '未知']",nli
